# sourceSeal=6cfba1f — S242/ENG-01 R3. Win probability in TWO submissions for an attacker who
# reads only the feedback string and knows no mathematics, against a blind two-guess baseline.
# pOracle = (|accepting| + #feedback classes)/|candidates| for the best probe. fishable = pOracle 1.0.
lesson,step,kind,engine,candidates,feedbackClasses,acceptingStates,pOracle,pBlind,advantage,fishable
ns-03-03,i1,interactive,areaModel,100,3,2,0.05,0.04,1.25,false
mf3-01-01,i1,interactive,areaModel,100,3,2,0.05,0.04,1.25,false
mf3-01-02,i1,interactive,areaModel,100,3,2,0.05,0.04,1.25,false
mf3-01-02,i2,interactive,areaModel,100,3,2,0.05,0.04,1.25,false
mf3-01-03,i1,interactive,areaModel,100,3,2,0.05,0.04,1.25,false
mf3-01-03,i2,interactive,areaModel,100,3,2,0.05,0.04,1.25,false
mf3-01-04,i1,interactive,areaModel,100,3,2,0.05,0.04,1.25,false
mf3-01-04,i2,interactive,areaModel,100,3,2,0.05,0.04,1.25,false
mf3-01-06,i1,interactive,areaModel,100,3,2,0.05,0.04,1.25,false
mf3-01-06,i2,interactive,areaModel,100,3,2,0.05,0.04,1.25,false
mf3-02-01,i1,interactive,areaModel,100,3,2,0.05,0.04,1.25,false
mf3-02-01,i2,interactive,areaModel,100,3,2,0.05,0.04,1.25,false
mf3-02-02,i1,interactive,areaModel,100,3,2,0.05,0.04,1.25,false
mf3-02-02,i2,interactive,areaModel,100,3,2,0.05,0.04,1.25,false
mf3-02-03,i1,interactive,areaModel,100,3,2,0.05,0.04,1.25,false
mf3-02-03,i2,interactive,areaModel,100,3,2,0.05,0.04,1.25,false
mf3-02-05,i1,interactive,areaModel,100,3,2,0.05,0.04,1.25,false
mf3-02-05,i2,interactive,areaModel,100,3,2,0.05,0.04,1.25,false
mf3-02-06,i1,interactive,areaModel,100,3,2,0.05,0.04,1.25,false
mf3-02-06,i2,interactive,areaModel,100,3,2,0.05,0.04,1.25,false
mf3-03-04,i1,interactive,areaModel,100,3,2,0.05,0.04,1.25,false
mf3-03-04,i2,interactive,areaModel,100,3,2,0.05,0.04,1.25,false
mf3-03-05,i1,interactive,areaModel,100,3,2,0.05,0.04,1.25,false
df3-01-01,i1,interactive,areaModel,100,3,2,0.05,0.04,1.25,false
df3-01-01,i2,interactive,areaModel,100,3,2,0.05,0.04,1.25,false
df3-01-02,i1,interactive,areaModel,100,3,2,0.05,0.04,1.25,false
df3-01-02,i2,interactive,areaModel,100,3,2,0.05,0.04,1.25,false
df3-01-03,i1,interactive,areaModel,100,3,2,0.05,0.04,1.25,false
df3-01-03,i2,interactive,areaModel,100,3,2,0.05,0.04,1.25,false
df3-01-04,i1,interactive,areaModel,100,3,2,0.05,0.04,1.25,false
df3-01-04,i2,interactive,areaModel,100,3,2,0.05,0.04,1.25,false
df3-02-03,i1,interactive,areaModel,100,3,2,0.05,0.04,1.25,false
df3-02-03,i2,interactive,areaModel,100,3,2,0.05,0.04,1.25,false
df3-02-04,i2,interactive,areaModel,100,3,2,0.05,0.04,1.25,false
df3-03-01,i1,interactive,areaModel,100,3,2,0.05,0.04,1.25,false
df3-03-04,i1,interactive,areaModel,100,3,2,0.05,0.04,1.25,false
df3-03-04,i2,interactive,areaModel,100,3,2,0.05,0.04,1.25,false
dop-03-01,i1,interactive,numberLinePlace,61,2,1,0.049,0.033,1.5,false
la-03-01,i2,interactive,dragBucket,81,3,1,0.049,0.025,2,false
df3-03-03,i2,interactive,areaModel,63,2,1,0.048,0.032,1.5,false
mf3-01-01,i2,interactive,areaModel,110,3,2,0.045,0.036,1.25,false
mf3-02-04,i1,interactive,areaModel,110,3,2,0.045,0.036,1.25,false
mf3-02-04,i2,interactive,areaModel,110,3,2,0.045,0.036,1.25,false
mf3-03-05,i2,interactive,areaModel,110,3,2,0.045,0.036,1.25,false
df3-02-01,i1,interactive,areaModel,110,3,2,0.045,0.036,1.25,false
df3-02-01,i2,interactive,areaModel,110,3,2,0.045,0.036,1.25,false
df3-02-04,i1,interactive,areaModel,110,3,2,0.045,0.036,1.25,false
df3-03-01,i2,interactive,areaModel,110,3,2,0.045,0.036,1.25,false
mf3-03-06,i2,interactive,areaModel,70,2,1,0.043,0.029,1.5,false
mf3-01-05,i1,interactive,areaModel,120,3,2,0.042,0.033,1.25,false
mf3-01-05,i2,interactive,areaModel,120,3,2,0.042,0.033,1.25,false
df3-02-02,i1,interactive,areaModel,120,3,2,0.042,0.033,1.25,false
ssg2-02-02,ch1,challenge,areaModel,49,1,1,0.041,0.041,1,false
df3-02-02,i2,interactive,areaModel,132,3,2,0.038,0.03,1.25,false
mf3-03-06,i1,interactive,areaModel,81,2,1,0.037,0.025,1.5,false
g3w-03-04,i1,interactive,numberLinePlace,61,1,1,0.033,0.033,1,false
g3w-03-04,i2,interactive,numberLinePlace,61,1,1,0.033,0.033,1,false
ssg2-02-03,i2,interactive,areaModel,64,1,1,0.031,0.031,1,false
rns-03-01,i1,interactive,numberLinePlace,101,2,1,0.03,0.02,1.5,false
rns-03-02,i1,interactive,numberLinePlace,101,2,1,0.03,0.02,1.5,false
pv2-03-01,i1,interactive,numberLinePlace,101,2,1,0.03,0.02,1.5,false
pv2-05-01,i1,interactive,numberLinePlace,101,2,1,0.03,0.02,1.5,false
dpv-01-02,i1,interactive,numberLinePlace,101,2,1,0.03,0.02,1.5,false
dpv-03-03,i1,interactive,numberLinePlace,101,2,1,0.03,0.02,1.5,false
dpv-04-02,i1,interactive,numberLinePlace,101,2,1,0.03,0.02,1.5,false
dop-05-02,i1,interactive,numberLinePlace,101,2,1,0.03,0.02,1.5,false
g4m-01-02,i1,interactive,areaModel,196,3,2,0.026,0.02,1.25,false
g4m-01-02,i2,interactive,areaModel,196,3,2,0.026,0.02,1.25,false
nls-01-03,i1,interactive,dragBucket,243,5,1,0.025,0.008,3,false
nls-02-03,i1,interactive,dragBucket,243,5,1,0.025,0.008,3,false
les-02-03,i2,interactive,dragBucket,243,5,1,0.025,0.008,3,false
bv-01-02,ch1,challenge,dragBucket,243,5,1,0.025,0.008,3,false
bv-01-03,ch1,challenge,dragBucket,243,5,1,0.025,0.008,3,false
g3w-03-02,i1,interactive,numberLinePlace,91,1,1,0.022,0.022,1,false
g3w-03-02,i2,interactive,numberLinePlace,91,1,1,0.022,0.022,1,false
pv-02-02,k2,check,numberLinePlace,101,1,1,0.02,0.02,1,false
mc-03-03,i1,interactive,dragBucket,256,4,1,0.02,0.008,2.5,false
la-01-03,i2,interactive,dragBucket,256,4,1,0.02,0.008,2.5,false
cg-03-02,i2,interactive,dragBucket,256,4,1,0.02,0.008,2.5,false
cn-05-03,i1,interactive,dragBucket,256,4,1,0.02,0.008,2.5,false
dop-02-01,i1,interactive,areaModel,400,2,6,0.02,0.03,0.67,false
tm-02-03,ch1,challenge,dragBucket,243,3,1,0.016,0.008,2,false
tm-01-03,ch1,challenge,dragBucket,729,6,1,0.01,0.003,3.5,false
mb-04-03,i1,interactive,dragBucket,729,6,1,0.01,0.003,3.5,false
mc-05-02,i2,interactive,dragBucket,729,6,1,0.01,0.003,3.5,false
ep-02-01,i3,interactive,dragBucket,729,6,1,0.01,0.003,3.5,false
cpr-01-01,k3,check,dragBucket,729,6,1,0.01,0.003,3.5,false
cn-04-03,i2,interactive,dragBucket,729,6,1,0.01,0.003,3.5,false
g4m-01-05,i1,interactive,areaModel,529,3,2,0.009,0.008,1.25,false
g4m-01-05,i2,interactive,areaModel,529,3,2,0.009,0.008,1.25,false
g4m-01-06,i1,interactive,areaModel,676,3,2,0.007,0.006,1.25,false
g4m-01-06,i2,interactive,areaModel,676,3,2,0.007,0.006,1.25,false
g4m-01-01,i1,interactive,areaModel,900,3,2,0.006,0.004,1.25,false
g4m-01-01,i2,interactive,areaModel,900,3,2,0.006,0.004,1.25,false
dop-04-03,i1,interactive,moneyBoard,844,2,1,0.004,0.002,1.5,false
